LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-75.2104056,39.96724,4322,RENO ST,,,,,19104,062043200,a69c460401a7f3a2
-75.2103657,39.9670378,4323,BROWN ST,,,,,19104,062006300,d37184a4108aabda
-75.2026915,39.9690845,849,SLOAN ST,,,,,19104,243156900,ada280f0911b0609
-75.203533,39.9685625,836,N 40TH ST,,,,,19104,062230200,aadb8f2e0e72d91e
-75.2081314,39.9708748,925,N 42ND ST,,,,,19104,062279900,32c2df32aea747fe
-75.2083706,39.9576948,4302,MARKET ST,,,,,19104,272002300,48347e24fb74f3aa
-75.210348,39.9699743,4303,WESTMINSTER AVE,,,,,19104,062102300,9d5e28cec9b1a05c
-75.2113052,39.9669154,4403,BROWN ST,,,,,19104,062007600,8086525e612446aa
-75.2069461,39.9676194,818,N HOLLY ST,,,,,19104,062266600,19c1a20d0ab05e07
-75.2099328,39.9675422,822,N 43RD ST,,,,,19104,871069050,ed91efd4c34c364b
-75.1916054,39.9598416,3412,POWELTON AVE,,,,,19104,241076350,aefba133ee545a44
-75.1993384,39.9687049,3822,PARRISH ST,,,,,19104,243138500,9e826f718b1b52b1
-75.1912438,39.9631706,3341,SPRING GARDEN ST,,,,,19104,242003920,454d880060a45dfd
-75.196392,39.9671345,743,N 37TH ST,,,,,19104,243078510,ee30af8a4268eeeb
-75.2060699,39.9733072,1131,N 41ST ST,,,,,19104,062249500,cd70875ec114ef56
-75.2044846,39.9734844,1126,N 40TH ST,,,,,19104,062233900,253743f9de91287f
-75.2006382,39.9674786,3902,BROWN ST,,,,,19104,243067310,bc83c545ad54c4d4
-75.2010714,39.966925,3924,FOLSOM ST,,,,,19104,243055710,19d257b5f7167f5a
-75.2008728,39.9544921,3920,SANSOM ST,,,,,19104,271053200,73d93d54d7c6d015
